PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID060;ID013;02;looking_around_with_occlusion;0.502335;0.442268;0.556730
ID060;ID037;02;looking_around_with_occlusion;0.540506;0.487142;0.584545
ID060;ID016;02;frontal_gaze;0.532308;0.488140;0.583379
ID061;ID019;01;looking_around_with_occlusion;0.539216;0.479829;0.604536
ID061;ID009;02;looking_around_with_occlusion;0.532165;0.470326;0.590313
ID061;ID015;01;looking_around;0.540978;0.485715;0.585027
ID061;ID048;02;frontal_gaze;0.554695;0.496219;0.606216
ID061;ID018;01;looking_around_with_occlusion;0.562384;0.500557;0.651231
ID061;ID004;01;frontal_gaze;0.503696;0.470163;0.533286
ID062;ID046;02;looking_around_with_occlusion;0.601375;0.531730;0.657979
ID062;ID014;01;looking_around;0.576938;0.491452;0.632163
ID062;ID017;02;frontal_gaze;0.609121;0.499741;0.667579
ID062;ID053;02;looking_around_with_occlusion;0.542670;0.432395;0.630582
ID062;ID024;02;looking_around_with_occlusion;0.523610;0.466205;0.582718
ID062;ID012;01;looking_around;0.527745;0.446979;0.597093
ID063;ID048;01;looking_around_with_occlusion;0.567943;0.496812;0.637802
ID063;ID065;02;looking_around;0.520081;0.474295;0.576354
ID063;ID046;01;looking_around;0.525582;0.466244;0.581422
ID063;ID012;02;looking_around_with_occlusion;0.541902;0.477116;0.592920
ID063;ID016;02;looking_around_with_occlusion;0.532709;0.451959;0.626484
ID063;ID018;01;looking_around;0.510784;0.427901;0.573037
ID064;ID025;01;looking_around;0.548577;0.476063;0.626447
ID064;ID057;02;looking_around_with_occlusion;0.535281;0.472171;0.594399
ID064;ID014;02;looking_around_with_occlusion;0.519914;0.430833;0.589777
ID064;ID029;01;looking_around;0.581780;0.494409;0.641207
ID064;ID043;02;looking_around;0.543142;0.486732;0.598998
ID064;ID042;02;frontal_gaze;0.506611;0.449148;0.553902
ID065;ID032;01;looking_around_with_occlusion;0.595924;0.519810;0.658114
ID065;ID048;01;looking_around;0.553295;0.456695;0.607448
ID065;ID015;02;looking_around_with_occlusion;0.520384;0.459789;0.598292
ID065;ID043;02;looking_around;0.556459;0.469623;0.621908
ID065;ID042;02;looking_around_with_occlusion;0.539656;0.469442;0.589179
ID065;ID063;02;looking_around_with_occlusion;0.527292;0.458374;0.585797
