PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID034;ID011;01;frontal_gaze;0.923687;1.049099;0.829885
ID034;ID044;01;looking_around_with_occlusion;0.930000;1.034773;0.846701
ID035;ID027;01;frontal_gaze;0.876947;0.983845;0.770775
ID035;ID025;01;looking_around_with_occlusion;0.948175;1.062745;0.814849
ID035;ID050;01;looking_around_with_occlusion;0.864106;1.052963;0.688377
ID035;ID043;01;looking_around;0.893275;1.011742;0.782479
ID035;ID037;02;frontal_gaze;0.959875;1.075201;0.882619
ID035;ID002;02;looking_around_with_occlusion;0.897200;1.004461;0.772247
ID036;ID030;01;looking_around;0.971203;1.056121;0.891981
ID036;ID044;02;frontal_gaze;0.935724;1.043658;0.827145
ID036;ID017;02;frontal_gaze;1.002371;1.097415;0.879102
ID036;ID023;01;looking_around_with_occlusion;0.968744;1.067917;0.882962
ID036;ID039;02;looking_around_with_occlusion;0.930677;1.060218;0.799592
ID036;ID053;02;looking_around;0.971469;1.077887;0.852209
ID037;ID017;02;looking_around_with_occlusion;0.930345;1.081767;0.819460
ID037;ID029;02;looking_around;0.909536;1.088762;0.766100
ID037;ID050;02;looking_around;0.916379;1.062141;0.763442
ID037;ID035;02;frontal_gaze;0.943575;1.048530;0.838978
ID037;ID054;01;frontal_gaze;0.916888;1.033988;0.800054
ID037;ID058;02;looking_around_with_occlusion;0.919818;1.060432;0.806018
ID038;ID051;02;looking_around_with_occlusion;0.932335;1.035641;0.839067
ID038;ID062;01;looking_around;0.991606;1.075315;0.923565
ID038;ID045;01;frontal_gaze;0.962221;1.096672;0.841723
ID038;ID015;02;looking_around;0.906457;1.045365;0.751964
ID038;ID024;02;looking_around_with_occlusion;0.919168;1.012709;0.820011
ID038;ID049;02;frontal_gaze;0.978708;1.083555;0.873216
ID039;ID010;02;frontal_gaze;0.895478;0.962446;0.804692
ID039;ID004;01;frontal_gaze;0.957267;1.070001;0.816620
ID039;ID048;01;looking_around_with_occlusion;0.997638;1.088237;0.889104
ID039;ID036;02;frontal_gaze;0.934130;1.098814;0.830886
ID039;ID052;02;frontal_gaze;0.908652;1.038600;0.811017
ID039;ID028;02;looking_around_with_occlusion;0.919785;1.034491;0.812166
ID040;ID034;02;frontal_gaze;0.988095;1.129970;0.879682
ID040;ID026;01;looking_around;0.908169;1.027592;0.802307
ID040;ID003;02;looking_around_with_occlusion;0.986163;1.120653;0.886068
ID040;ID060;01;frontal_gaze;0.943529;1.048726;0.849590
ID040;ID005;01;looking_around;0.928625;1.064852;0.823789
ID040;ID033;02;looking_around;0.975312;1.071103;0.867387
ID041;ID033;01;looking_around_with_occlusion;0.849825;0.967547;0.749968
ID041;ID021;01;frontal_gaze;0.932693;1.030021;0.850378
ID041;ID027;02;looking_around;0.933592;1.021400;0.830980
ID041;ID050;02;frontal_gaze;0.946697;1.087780;0.854905
ID041;ID025;02;frontal_gaze;0.930429;1.029169;0.823975
ID041;ID003;02;looking_around_with_occlusion;0.947157;1.072971;0.856303
ID042;ID025;01;frontal_gaze;0.878393;1.029062;0.759792
ID042;ID029;02;frontal_gaze;0.870061;1.040031;0.771493
ID042;ID065;01;looking_around;0.904649;1.035440;0.829023
ID042;ID003;01;looking_around;0.900021;1.003623;0.795222
ID042;ID055;01;looking_around_with_occlusion;0.934611;1.038746;0.812944
ID042;ID064;01;frontal_gaze;0.909563;1.019412;0.820642
ID043;ID027;01;frontal_gaze;0.844714;0.947431;0.732030
ID043;ID029;01;looking_around;0.849215;1.065091;0.739780
ID043;ID019;02;looking_around_with_occlusion;0.970469;1.080114;0.803689
ID043;ID054;01;frontal_gaze;0.852132;1.028588;0.722826
ID043;ID065;01;looking_around_with_occlusion;0.943151;1.062820;0.806457
ID043;ID035;01;looking_around_with_occlusion;0.921146;1.069320;0.745330
ID044;ID016;01;looking_around_with_occlusion;0.971967;1.104767;0.890876
ID044;ID036;02;looking_around_with_occlusion;0.899132;0.997657;0.829051
ID044;ID015;01;looking_around;0.917877;1.009367;0.829636
ID044;ID004;02;frontal_gaze;0.918070;1.010917;0.826565
ID044;ID019;02;frontal_gaze;0.987084;1.073045;0.909841
ID044;ID047;02;looking_around;0.960220;1.078034;0.834458
ID045;ID030;02;frontal_gaze;0.939112;1.101768;0.827126
ID045;ID017;02;frontal_gaze;0.960473;1.071046;0.855076
ID045;ID038;02;looking_around;0.898871;1.020618;0.751366
ID045;ID020;02;looking_around;0.998523;1.114437;0.897912
ID045;ID042;02;looking_around_with_occlusion;0.978577;1.071504;0.886190
ID045;ID021;01;looking_around;0.963924;1.064810;0.845477
ID046;ID062;01;looking_around;0.831598;0.917689;0.715021
ID046;ID031;01;looking_around;0.915769;1.046170;0.830322
ID046;ID050;02;looking_around;0.993021;1.100562;0.871991
ID046;ID063;02;looking_around_with_occlusion;0.964345;1.083801;0.784622
ID046;ID012;01;looking_around;0.934659;1.013705;0.810871
ID046;ID035;02;looking_around_with_occlusion;0.966508;1.089896;0.856868
ID047;ID025;01;looking_around_with_occlusion;0.902779;1.031760;0.758941
ID047;ID058;01;frontal_gaze;0.917637;1.040054;0.800689
ID047;ID011;01;looking_around;0.946314;1.070744;0.805181
ID047;ID024;02;frontal_gaze;0.900735;1.034216;0.757423
ID047;ID057;01;frontal_gaze;0.891162;0.976715;0.764454
ID047;ID031;02;frontal_gaze;0.990846;1.108360;0.875635
ID048;ID065;01;looking_around;0.943724;1.056872;0.848806
ID048;ID063;01;looking_around_with_occlusion;0.951166;1.062690;0.783812
ID048;ID026;01;looking_around_with_occlusion;0.953371;1.096808;0.822963
ID048;ID015;02;frontal_gaze;0.963933;1.059440;0.858887
ID048;ID001;02;looking_around;0.927643;1.050758;0.790036
ID048;ID061;02;looking_around;0.953647;1.062895;0.838881
ID049;ID056;01;frontal_gaze;0.888110;1.039040;0.774633
ID049;ID033;02;looking_around_with_occlusion;0.886405;1.024954;0.769323
ID049;ID023;02;looking_around_with_occlusion;0.940709;1.049933;0.811532
ID049;ID019;02;looking_around_with_occlusion;0.902298;1.052861;0.774853
ID049;ID008;02;frontal_gaze;0.987222;1.078558;0.863732
ID049;ID017;01;looking_around;0.942418;1.022706;0.864642
ID050;ID003;01;frontal_gaze;0.855423;0.980481;0.742414
ID050;ID029;01;frontal_gaze;0.691700;0.850734;0.577276
ID050;ID035;02;looking_around;0.930321;1.060200;0.766698
ID050;ID043;01;looking_around_with_occlusion;0.930605;1.064993;0.791909
ID050;ID037;02;frontal_gaze;0.948653;1.060537;0.828904
ID050;ID024;02;looking_around;0.946976;1.103773;0.800726
ID051;ID001;02;frontal_gaze;0.899736;1.009124;0.794984
ID051;ID038;01;looking_around_with_occlusion;0.944836;1.038562;0.836282
ID051;ID032;02;looking_around_with_occlusion;1.008659;1.176281;0.873940
ID051;ID049;02;looking_around_with_occlusion;0.969412;1.088858;0.861782
ID051;ID041;02;frontal_gaze;0.983175;1.130837;0.786298
ID051;ID005;02;looking_around_with_occlusion;0.957201;1.074745;0.824281
ID052;ID033;02;looking_around_with_occlusion;0.943140;1.035194;0.825248
ID052;ID025;01;frontal_gaze;0.919627;1.020405;0.836332
ID052;ID035;01;looking_around;0.965638;1.082873;0.866386
ID052;ID039;02;looking_around_with_occlusion;0.979531;1.099112;0.849904
ID052;ID062;02;frontal_gaze;0.879796;0.969668;0.795429
ID052;ID032;01;frontal_gaze;0.910089;0.992130;0.841922
ID053;ID017;01;looking_around;0.885973;0.986256;0.775127
ID053;ID062;01;looking_around;0.922956;1.027440;0.806598
