ID_SOGGETTO,SEQUENZA,POSA,AVG,MAX,MIN
ID012,1,looking_around_with_occlusion,0.9189259487179489,1.0,0.282627
ID012,2,frontal_gaze,0.8419662399999999,0.999997,0.157421
ID012,2,looking_around,0.8720098285714285,0.999996,0.134793
ID012,2,looking_around_with_occlusion,0.8798833243243243,1.0,0.303615
ID013,1,frontal_gaze,0.285695837037037,0.977152,0.000287
ID013,1,looking_around,0.5754973577235774,0.999997,0.000376
ID013,1,looking_around_with_occlusion,0.38939045901639346,0.990776,0.00119
ID013,2,frontal_gaze,0.45901718032786887,0.995144,0.000823
ID013,2,looking_around,0.5113753984375,1.0,0.000352
ID013,2,looking_around_with_occlusion,0.5580433025210083,1.0,0.00839
ID014,1,frontal_gaze,0.5874160298507463,0.999991,0.023948
ID014,1,looking_around,0.6648534015748033,1.0,0.000319
ID014,1,looking_around_with_occlusion,0.7704211388888889,1.0,0.039542
ID014,2,frontal_gaze,0.22465373684210527,0.999992,0.000589
ID014,2,looking_around,0.7049382335766423,1.0,0.000488
ID014,2,looking_around_with_occlusion,0.9682429674796746,1.0,0.100555
ID015,1,frontal_gaze,0.1502601140350877,0.919138,0.000144
ID015,1,looking_around,0.7030344098360655,1.0,0.010048
ID015,1,looking_around_with_occlusion,0.9788559789473683,1.0,0.742951
ID015,2,frontal_gaze,0.6993706923076923,0.999984,0.015692
ID015,2,looking_around,0.9855890537634411,1.0,0.735066
ID015,2,looking_around_with_occlusion,0.9903468617021277,1.0,0.354587
ID016,1,frontal_gaze,0.8596650442477878,0.999999,0.218343
ID016,1,looking_around,0.8852974623655911,1.0,0.122194
ID016,1,looking_around_with_occlusion,0.9135698490566038,1.0,0.160541
ID016,2,frontal_gaze,0.6797355087719299,1.0,0.032308
ID016,2,looking_around,0.8634705871559635,1.0,0.04936
ID016,2,looking_around_with_occlusion,0.9999475555555557,1.0,0.996148
ID017,1,frontal_gaze,0.7493684579439254,0.995653,0.027227
ID017,1,looking_around,0.9239399787234043,1.0,0.231722
ID017,1,looking_around_with_occlusion,0.9685796292134832,1.0,0.86009
ID017,2,frontal_gaze,0.8664715565217391,1.0,0.346386
ID017,2,looking_around,0.9778365981308411,1.0,0.730106
ID017,2,looking_around_with_occlusion,0.9627914912280702,1.0,0.589864
ID018,1,frontal_gaze,0.3754783962264151,0.976194,0.001902
ID018,1,looking_around,0.7839802,1.0,0.036759
ID018,1,looking_around_with_occlusion,0.8314678000000001,1.0,0.081413
ID018,2,frontal_gaze,0.7637475569620253,1.0,0.112428
ID018,2,looking_around,0.8824876744186049,1.0,0.04994
ID018,2,looking_around_with_occlusion,0.9041806063829787,1.0,0.022475
ID019,1,frontal_gaze,0.8892513951612905,1.0,0.005698
ID019,1,looking_around,0.9144959921875,1.0,0.168416
ID019,1,looking_around_with_occlusion,0.8793300640000001,1.0,0.03128
ID019,2,frontal_gaze,0.7271277807017545,0.99596,0.007498
ID019,2,looking_around,0.8045920297029702,1.0,0.021453
ID019,2,looking_around_with_occlusion,0.9863688500000001,1.0,0.727293
ID020,1,frontal_gaze,0.9047387400000001,1.0,0.24893
ID020,1,looking_around,0.9506017722772279,1.0,0.648832
ID020,1,looking_around_with_occlusion,0.9109500990099009,1.0,0.465407
ID020,2,frontal_gaze,0.8030018981481483,0.999993,0.123798
ID020,2,looking_around,0.9842482285714286,1.0,0.876742
ID020,2,looking_around_with_occlusion,0.9901197659574468,1.0,0.804829
ID021,1,frontal_gaze,0.9981795652173914,1.0,0.943781
ID021,1,looking_around,0.994610224137931,1.0,0.916135
ID021,1,looking_around_with_occlusion,0.9971343597122302,1.0,0.947049
ID021,2,frontal_gaze,0.9969783584905662,1.0,0.950073
ID021,2,looking_around,0.988509111111111,1.0,0.927353
ID021,2,looking_around_with_occlusion,0.9957159835164835,1.0,0.935509
ID022,1,frontal_gaze,0.9968523547008548,1.0,0.8829
ID022,1,looking_around,0.9950665075376884,1.0,0.902403
ID022,1,looking_around_with_occlusion,0.9965443534482759,1.0,0.933721
ID022,2,frontal_gaze,0.9879557008196722,1.0,0.561189
ID022,2,looking_around,0.9966733802083333,1.0,0.915514
ID022,2,looking_around_with_occlusion,0.9999990516129033,1.0,0.999982
ID023,1,frontal_gaze,0.9479110724637683,1.0,0.514536
ID023,1,looking_around,0.9589816311475411,1.0,0.616176
ID023,1,looking_around_with_occlusion,0.9798695461538461,1.0,0.434622
ID023,2,frontal_gaze,0.8907595126582278,1.0,0.107278
ID023,2,looking_around,0.9701160075757577,1.0,0.713293
ID023,2,looking_around_with_occlusion,0.9236062206896551,1.0,0.260727
ID024,1,frontal_gaze,0.8837772466666667,1.0,0.08616
ID024,1,looking_around,0.979047472868217,1.0,0.736311
ID024,1,looking_around_with_occlusion,0.9998322325581397,1.0,0.992833
ID024,2,frontal_gaze,0.9397675283018866,1.0,0.25089
ID024,2,looking_around,0.9846840783132531,1.0,0.649467
ID024,2,looking_around_with_occlusion,0.984799412121212,1.0,0.806044
ID025,1,frontal_gaze,0.9806625379310344,1.0,0.768184
ID025,1,looking_around,0.9637223959731545,1.0,0.210175
ID025,1,looking_around_with_occlusion,0.9759074057971016,1.0,0.587149
ID025,2,frontal_gaze,0.985795391025641,1.0,0.686143
ID025,2,looking_around,0.9963397901234569,1.0,0.943373
ID026,1,frontal_gaze,0.25904095862068965,0.970311,0.00066
ID026,1,looking_around,0.49940521875,0.999992,0.003781
ID026,1,looking_around_with_occlusion,0.767760503937008,1.0,0.053772
ID026,2,frontal_gaze,0.5041033525179855,0.999999,0.004194
ID026,2,looking_around,0.8628179097744362,1.0,0.035381
ID026,2,looking_around_with_occlusion,0.7512681483870968,1.0,0.053995
ID027,1,frontal_gaze,0.39600709090909086,0.995899,0.006573
ID027,1,looking_around,0.5594200068965518,1.0,0.000927
ID027,1,looking_around_with_occlusion,0.7184582283464567,1.0,0.017434
ID027,2,frontal_gaze,0.3541649858156028,0.999996,0.000527
ID027,2,looking_around,0.8135377404580152,1.0,0.005985
ID027,2,looking_around_with_occlusion,0.9171445658914729,1.0,0.004341
ID028,1,frontal_gaze,0.47557599999999994,0.999995,0.008784
ID028,1,looking_around,0.7358741810344828,1.0,0.027948
ID028,1,looking_around_with_occlusion,0.82228139,1.0,0.045187
ID028,2,frontal_gaze,0.6337134794520547,1.0,0.022872
ID028,2,looking_around,0.9719595886524822,1.0,0.242228
ID028,2,looking_around_with_occlusion,0.9409156131386861,1.0,0.148979
ID029,1,frontal_gaze,0.05695733802816901,0.473377,0.000109
ID029,1,looking_around,0.19841863414634145,0.977788,0.000254
ID029,1,looking_around_with_occlusion,0.37158603125,0.996227,0.000568
ID029,2,frontal_gaze,0.08595653435114503,0.850084,0.000733
ID029,2,looking_around,0.23565861904761906,0.999999,0.00097
ID029,2,looking_around_with_occlusion,0.2796797152317881,1.0,0.000809
ID030,1,frontal_gaze,0.2769599295774648,1.0,7.6e-05
ID030,1,looking_around,0.3724260849056603,1.0,9.4e-05
ID030,1,looking_around_with_occlusion,0.41717350993377483,1.0,0.000401
ID030,2,frontal_gaze,0.7843554041095889,1.0,0.00075
ID030,2,looking_around,0.7165904964028776,1.0,0.003317
