PERSON ID;OTHER PERSON ID;SUBJECT_IN_FRAME_ID;SEQUENCE;MODE;AVG;MAX;MIN
002;022;022;02;looking_around;0.994172;1.000000;0.641327
002;022;022;02;looking_around_with_occlusion;0.999395;1.000000;0.906051
002;056;002;01;frontal_gaze;0.997139;1.000000;0.959931
002;056;002;01;looking_around;0.982445;1.000000;0.356301
002;056;002;01;looking_around_with_occlusion;0.975523;1.000000;0.526242
002;056;002;02;frontal_gaze;0.997154;1.000000;0.952004
002;056;002;02;looking_around;0.994438;1.000000;0.759294
002;056;002;02;looking_around_with_occlusion;0.996799;1.000000;0.841672
002;056;056;01;frontal_gaze;0.993704;1.000000;0.713893
002;056;056;01;looking_around;0.991043;1.000000;0.801484
002;056;056;01;looking_around_with_occlusion;0.997887;1.000000;0.978943
002;056;056;02;frontal_gaze;0.994683;1.000000;0.860215
002;056;056;02;looking_around;0.997004;1.000000;0.909097
002;056;056;02;looking_around_with_occlusion;0.996012;1.000000;0.868150
003;017;003;01;frontal_gaze;0.992640;1.000000;0.894154
003;017;003;01;looking_around;0.989056;1.000000;0.694790
003;017;003;01;looking_around_with_occlusion;0.980537;1.000000;0.558807
003;017;003;02;frontal_gaze;0.981795;1.000000;0.468047
003;017;003;02;looking_around;0.986472;1.000000;0.500000
003;017;003;02;looking_around_with_occlusion;0.992539;1.000000;0.872045
003;017;017;01;frontal_gaze;0.930695;1.000000;0.263320
003;017;017;01;looking_around;0.955843;1.000000;0.310271
003;017;017;01;looking_around_with_occlusion;0.948658;1.000000;0.479450
003;017;017;02;frontal_gaze;0.896305;1.000000;0.212575
003;017;017;02;looking_around;0.978067;1.000000;0.595611
003;017;017;02;looking_around_with_occlusion;0.967079;1.000000;0.426200
003;021;003;01;frontal_gaze;0.987989;1.000000;0.862751
003;021;003;01;looking_around;0.975091;1.000000;0.390220
003;021;003;01;looking_around_with_occlusion;0.974415;1.000000;0.553463
003;021;003;02;frontal_gaze;0.984020;1.000000;0.647887
003;021;003;02;looking_around;0.959684;1.000000;0.089387
