VIDEO ID;PERSON ID;AVG;MAX;MIN
P1E_S3_C3;0013;0.88795;0.8048;0.9162
P1E_S3_C3;0009;0.8897;0.8628;0.90945
P1E_S3_C3;0026;0.8616;0.8230500000000001;0.88245
P1E_S3_C3;0027;0.9122;0.9004;0.9237
P1E_S3_C3;0014;0.8678;0.78865;0.898
P1E_S3_C3;0011;0.8588;0.7867500000000001;0.91155
P1E_S3_C3;0001;0.8864;0.7989999999999999;0.92335
P1E_S3_C3;0010;0.8858;0.8584499999999999;0.9142
P1E_S3_C3;0012;0.8705499999999999;0.85045;0.883
P1E_S3_C3;0020;0.7943;0.72835;0.83565
P1E_S3_C3;0024;0.8765000000000001;0.779;0.9188000000000001
P1E_S3_C3;0023;0.82585;0.7734;0.84655
P1E_S3_C3;0022;0.85315;0.82135;0.8674
P1E_S3_C3;0025;0.86955;0.82805;0.8906499999999999
P1E_S3_C3;0018;0.84745;0.82345;0.8621
P1E_S3_C3;0006;0.8609;0.8039000000000001;0.88945
P1E_S3_C3;0004;0.8593999999999999;0.8132;0.8896
P1E_S3_C3;0007;0.8526;0.78395;0.88575
P1E_S4_C1;0017;0.84465;0.7438;0.9206
P1E_S4_C1;0019;0.8553;0.7746999999999999;0.9062
P1E_S4_C1;0021;0.83455;0.76045;0.8914
P1E_S4_C1;0015;0.73915;0.6084;0.8184
P1E_S4_C1;0025;0.8210999999999999;0.7101500000000001;0.9122
P1E_S4_C1;0005;0.84915;0.7671;0.8865
P1E_S4_C1;0003;0.8713;0.76995;0.92835
P1E_S4_C1;0013;0.8569;0.79705;0.90615
P1E_S4_C1;0007;0.82475;0.7444500000000001;0.87945
P1E_S4_C1;0020;0.8065;0.74305;0.87275
P1E_S4_C1;0012;0.8412;0.75685;0.89395
P1E_S4_C1;0018;0.80355;0.67155;0.8553
P1E_S4_C1;0024;0.8586;0.75605;0.9198
P1E_S4_C1;0023;0.82165;0.7311000000000001;0.8925
P1E_S4_C1;0022;0.83835;0.726;0.89465
P1E_S4_C1;0010;0.8545;0.75515;0.89395
P1E_S4_C1;0001;0.8301000000000001;0.70955;0.89485
P1E_S4_C1;0009;0.84625;0.77155;0.8934
P1E_S4_C1;0006;0.8136;0.7044;0.8902
P1E_S4_C1;0026;0.82065;0.7286;0.8778
P1E_S4_C1;0027;0.871;0.80845;0.9158
P1E_S4_C1;0016;0.86125;0.77945;0.9019
P1E_S4_C1;0011;0.82755;0.7355499999999999;0.90825
P1E_S4_C1;0014;0.8079000000000001;0.7160500000000001;0.87575
P1E_S4_C1;0004;0.77755;0.6371;0.86585
P1E_S4_C2;0017;0.8707;0.78365;0.9145
P1E_S4_C2;0019;0.8776;0.7775;0.91915
P1E_S4_C2;0021;0.83205;0.7365999999999999;0.8772
P1E_S4_C2;0015;0.7806500000000001;0.6879;0.8223
P1E_S4_C2;0025;0.84105;0.70175;0.9104
P1E_S4_C2;0005;0.8651;0.78205;0.89355
P1E_S4_C2;0003;0.87995;0.80165;0.91435
P1E_S4_C2;0013;0.86275;0.78225;0.90445
P1E_S4_C2;0007;0.83985;0.7655000000000001;0.8872
P1E_S4_C2;0020;0.8250500000000001;0.7685500000000001;0.8827
P1E_S4_C2;0012;0.86405;0.80345;0.89815
P1E_S4_C2;0018;0.8382499999999999;0.7772;0.86295
P1E_S4_C2;0024;0.86995;0.79445;0.9036
P1E_S4_C2;0023;0.8143;0.7057;0.8748
P1E_S4_C2;0022;0.8593500000000001;0.8148;0.88515
P1E_S4_C2;0010;0.8768;0.8150999999999999;0.9141
P1E_S4_C2;0001;0.85955;0.75075;0.9043
P1E_S4_C2;0009;0.8706;0.80245;0.9003
P1E_S4_C2;0006;0.8569;0.7893;0.8924
P1E_S4_C2;0026;0.84585;0.757;0.88195
P1E_S4_C2;0027;0.87195;0.8190999999999999;0.90545
P1E_S4_C2;0016;0.87405;0.8058;0.8981
P1E_S4_C2;0011;0.8498;0.7493000000000001;0.90855
P1E_S4_C2;0014;0.8354;0.748;0.8806
P1E_S4_C2;0004;0.8153;0.6802;0.8698
P1E_S4_C3;0017;0.8347;0.78335;0.85865
P1E_S4_C3;0019;0.86515;0.8497;0.88575
P1E_S4_C3;0021;0.80535;0.76805;0.8284
P1E_S4_C3;0015;0.78325;0.7542;0.8220000000000001
P1E_S4_C3;0025;0.8564;0.7561;0.8869
P1E_S4_C3;0005;0.82235;0.7843;0.85865
P1E_S4_C3;0003;0.8411;0.8007;0.86365
P1E_S4_C3;0013;0.83705;0.8009;0.87275
P1E_S4_C3;0007;0.8107;0.76385;0.8374
P1E_S4_C3;0020;0.7899;0.75925;0.81345
P1E_S4_C3;0012;0.84265;0.8247;0.8592500000000001
P1E_S4_C3;0018;0.80115;0.75665;0.83835
P1E_S4_C3;0024;0.8464;0.8242;0.8623000000000001
P1E_S4_C3;0023;0.7628;0.7208;0.79255
P1E_S4_C3;0022;0.8259;0.8041;0.84165
P1E_S4_C3;0010;0.8402000000000001;0.8048500000000001;0.87605
P1E_S4_C3;0001;0.83345;0.79115;0.8563000000000001
P1E_S4_C3;0009;0.8383;0.74795;0.8858
P1E_S4_C3;0006;0.8386;0.8129;0.8636
P1E_S4_C3;0026;0.8604;0.81665;0.88475
P1E_S4_C3;0027;0.85155;0.8143;0.8775
P1E_S4_C3;0016;0.85175;0.8183;0.87585
P1E_S4_C3;0011;0.84475;0.7988;0.88365
